project	Desarrollo en comunidad	Existe un roadmap	Technology_roadmap	Exists a roadmap
project	Desarrollo en comunidad	Existe archivo ToDo	To-do	Exists a To-Do list
project	Desarrollo en comunidad	Existe archivo Readme	Readme	Exists a readme file
project	Desarrollo en comunidad	Uso de metodologías de desarrollo y estándares de facto	Software_development_methodology	Uses development metodologies and de facto standards
project	Desarrollo en comunidad	Documentación del desarrollo	Software_documentation	Software documentation
project	Desarrollo en comunidad	Gestión de versiones	Version_control_system	Version control system
project	Desarrollo en comunidad	Tratamiento de errores	Debugging	Debugging
project	Desarrollo en comunidad	Realización de pruebas	Software_testing	Software testing
project	Desarrollo en comunidad	Navegación intuitiva del portal de desarrollo	Source_code_repository	Source code repository
project	La Comunidad	Modelo de gobernanza	Organizational_structure	Organizational structure
project	La Comunidad	Comunidad viva	Free_software_community	Free software community
project	La Comunidad	Foro	Internet_forum	Forum
project	La Comunidad	Blog	Blog	Blog
project	La Comunidad	Mailing lists	Electronic_mailing_list	Mailing lists
project	La Comunidad	RSS ATOM	Web_syndication	Web syndication
product	Producto	Novedad del producto (funcionalidad)	Innovation	Innovation of the product
product	Producto	Tipo de Licencia	Software_license	Software license
product	Producto	Certificación - Stacks	Product_certification	Product certification
product	Producto	Internacionalización (i18n l10n)	Internationalization_and_locatization	Internationalization (i18n l10n)
product	Producto	Demo online	Demo_(computer_programming)	Online demo
product	Mercado	Referencias de uso/casos de éxito	Customer_satisfaction	Customer satisfaction
product	Mercado	Respaldo corporativo	Software_industry	Corporative support
product	Mercado	Resultados en buscadores	Search_engine_results_page	SEO
product	Mercado	Difusión en RR.SS.	Virtual_community	Social Media
product	Mercado	Presencia internacional	Internationalization	Internationalization
